name,depth,importance,id,new_depth,depth_name
ethnic conflict,0,13.873962162231578,0,0,2006-2008
religion,0,11.89240904699222,1,0,2006-2008
terror,0,8.94904860361332,3,0,2006-2008
starv the beast,0,3.4773214674046224,14,0,2006-2008
re-elect prospect,0,3.1865795932855363,16,0,2006-2008
econom right,0,3.071124192661754,20,0,2006-2008
counter-terror polici,0,2.938873445591853,23,0,2006-2008
polit geographi,0,2.647415196553318,27,0,2006-2008
communiti respons system,0,2.241619332754105,35,0,2006-2008
palestinian-isra conflict,0,2.236584858317544,36,0,2006-2008
posit constitut econom,0,2.0930808741322435,43,0,2006-2008
putin,0,2.0904555410356003,44,0,2006-2008
assassin,0,2.071508329035882,46,0,2006-2008
religi divid,0,2.052062296434102,49,0,2006-2008
slave trade,0,1.977187032746444,50,0,2006-2008
wagner's law,0,1.9264702098487825,51,0,2006-2008
market justic,0,1.900019149626174,53,0,2006-2008
analyt egalitarian,0,1.7838333013657868,59,0,2006-2008
term limit,0,1.7057529920060195,64,0,2006-2008
polit budget cycl,0,1.702856939108179,67,0,2006-2008
elector competit,0,1.6717078477599483,69,0,2006-2008
elector account,0,1.5001918099767715,78,0,2006-2008
busi profit,0,1.4308966131299787,83,0,2006-2008
russian duma,0,1.347291757688972,87,0,2006-2008
somalia,0,1.321647339659751,89,0,2006-2008
candid,0,1.3071376374634545,90,0,2006-2008
delus,0,1.19323743773506,99,0,2006-2008
harem,0,1.1731711563661331,105,0,2006-2008
woman's reserv,0,1.1668286116007553,106,0,2006-2008
forc labor,0,1.0358308897181543,121,0,2006-2008
authoritarian,0,1.0257361495357684,123,0,2006-2008
collect memori,0,0.9872107101744722,128,0,2006-2008
caucasian,0,0.958977540091906,134,0,2006-2008
district magnitud,0,0.9543639265643657,141,0,2006-2008
villag democraci,0,0.9492158348107621,142,0,2006-2008
voter,0,0.8650279432504304,157,0,2006-2008
medium bias,0,0.8624818090306343,158,0,2006-2008
aid,0,0.8313975163981614,168,0,2006-2008
disast relief,0,0.8221845067170155,174,0,2006-2008
alexand del mar,0,0.8008903418403309,181,0,2006-2008
law of reflux,0,0.7976169819416912,185,0,2006-2008
honoraria,0,0.7770593891963984,194,0,2006-2008
keju,0,0.7736299587966343,196,0,2006-2008
polit repress,0,0.7706425111121633,197,0,2006-2008
lighthous,0,0.7488050800845273,204,0,2006-2008
campaign cost,0,0.7480515402411555,205,0,2006-2008
pirat,0,0.7463910110270846,206,0,2006-2008
salienc,0,0.7459171992466692,207,0,2006-2008
local rank,0,0.7377667631802929,213,0,2006-2008
incom and democraci,0,0.737292849597813,215,0,2006-2008
terror,1,9.715565377609778,2,1,2009-2011
polici revers,1,8.417503945349555,4,1,2009-2011
tran-atlant slave trade,1,6.9749452141094626,5,1,2009-2011
trust in public institut,1,6.4883655321312705,6,1,2009-2011
plow,1,6.382974797915503,7,1,2009-2011
french revolut,1,5.627213134437521,8,1,2009-2011
posit constitut econom,1,3.7122624054576736,10,1,2009-2011
outsid earn,1,3.6553259091993833,11,1,2009-2011
middl way,1,3.118438617775117,18,1,2009-2011
