name,depth,importance,id,new_depth,depth_name
contractor,0,6.048918342025473,8,0,2006-2008
moora method,0,4.516690446197741,12,0,2006-2008
transport economi,0,3.6168479816350056,16,0,2006-2008
ratio analysi,0,2.9249189944639387,17,0,2006-2008
hodg-lehmann rule,0,2.5707752899214498,18,0,2006-2008
sustain construct,0,2.424766027936169,20,0,2006-2008
knowledg worker's migrat,0,2.1008967475420914,24,0,2006-2008
sustain develop(sd),0,1.7890575105159683,28,0,2006-2008
post-mortem analysi,0,1.6910534805308877,29,0,2006-2008
dimensionless measur,0,1.4461984400932983,35,0,2006-2008
cross-cultur manag,0,1.4303053057848016,37,0,2006-2008
organiz cultur,0,1.2302563609499053,41,0,2006-2008
baltic region,0,1.1601158088897918,43,0,2006-2008
divers manag problem,0,0.9216595203718092,58,0,2006-2008
institut capit,0,0.8051308896883104,62,0,2006-2008
lithuania,0,0.7886041407068105,63,0,2006-2008
urolog intervent,0,0.7660546662830623,65,0,2006-2008
knowledg-base societi,0,0.7447252853304072,67,0,2006-2008
sugeno integr,0,0.6811090883686098,74,0,2006-2008
institut equilibrium,0,0.667418864066696,75,0,2006-2008
brand ident,0,0.6286300452240662,78,0,2006-2008
liver cirrhosi,0,0.5998978649981033,83,0,2006-2008
global transform,0,0.5573240315555261,88,0,2006-2008
fuzzi classif,0,0.555347023142512,90,0,2006-2008
global challeng,0,0.5314024418431356,92,0,2006-2008
web servic,0,0.5285360896093795,94,0,2006-2008
sustain develop concept,0,0.5107103508694966,102,0,2006-2008
control premium,0,0.49777762918159646,109,0,2006-2008
busi valuat,0,0.4972495289083444,111,0,2006-2008
consum vulner,0,0.4838266910533218,115,0,2006-2008
global cosmet industri,0,0.48163212356124585,120,0,2006-2008
uml diagram,0,0.47892347668004065,123,0,2006-2008
kuznet'environment curv,0,0.4575452245857289,141,0,2006-2008
edmunda,1,18.17109162379346,0,1,2009-2011
kazimiera,1,18.17109162379346,1,1,2009-2011
zavadska,1,16.045175150827866,2,1,2009-2011
knowledg-base societi,1,8.214417711161692,6,1,2009-2011
triangular intuitionist fuzzi number,1,8.210270444111492,7,1,2009-2011
saper,1,6.031057036647902,9,1,2009-2011
multimoora,1,5.555939369318558,10,1,2009-2011
moora,1,4.080824616271386,13,1,2009-2011
