name,depth,importance,id,new_depth,depth_name
state visit,0,32.831336746597486,2,0,2006-2008
graviti,0,10.711102669045985,4,0,2006-2008
intens and extens margin,0,10.501484621826815,5,0,2006-2008
econom integr agreement(eia),0,8.0150039143832,11,0,2006-2008
intern trade,0,6.9755126905087455,14,0,2006-2008
administr protect,0,6.353929007781584,17,0,2006-2008
firm'export,0,6.130226563514231,18,0,2006-2008
tariff evas,0,5.062306772249385,27,0,2006-2008
pattern of trade,0,4.601752472381312,29,0,2006-2008
tariff liber,0,4.097081465967386,37,0,2006-2008
pta,0,3.821944631886705,39,0,2006-2008
export market particip,0,3.8055895841775254,41,0,2006-2008
world economi,0,3.0199236460064536,56,0,2006-2008
firm'size distribut,0,2.7736820841955785,63,0,2006-2008
intra-firm trade,0,2.7403632007515086,65,0,2006-2008
skill dispers,0,2.739369186454444,66,0,2006-2008
ptas,0,2.574694941592924,73,0,2006-2008
trade flow,0,2.2805243064358125,79,0,2006-2008
world trade,0,2.218863238195759,81,0,2006-2008
foreign acquisit,0,2.1984983854493065,83,0,2006-2008
judici qualiti,0,2.168399585079339,88,0,2006-2008
preferenti trade agreement(ptas),0,2.1432691045389114,89,0,2006-2008
intra-industri trade(iit),0,2.084978596254052,90,0,2006-2008
trade-creation,0,2.069955333634098,91,0,2006-2008
export,0,2.047003399503617,92,0,2006-2008
mnc,0,2.037050686756626,93,0,2006-2008
quid pro quo,0,1.890076530970852,99,0,2006-2008
trade diversif,0,1.8525201106695062,103,0,2006-2008
gatt / wto,0,1.71073853173809,113,0,2006-2008
embassi,0,1.625299814702645,119,0,2006-2008
mncs,0,1.5838085076352963,124,0,2006-2008
nation treatment,0,1.5250113226529867,133,0,2006-2008
technic progress and wage,0,1.517766268100921,135,0,2006-2008
import of intermedi input,0,1.49559199172492,141,0,2006-2008
trade gap,0,1.4840296867475495,146,0,2006-2008
plant surviv,0,1.4508842134634103,150,0,2006-2008
incom of countri,0,1.3927962900410735,156,0,2006-2008
distanc puzzl,0,1.3893310824357021,158,0,2006-2008
prefer util,0,1.3850633637010792,160,0,2006-2008
indirect export,0,1.3808728264002128,161,0,2006-2008
firm-level datum,0,1.3676800705345629,165,0,2006-2008
export promot,0,1.364529130433082,170,0,2006-2008
worker train,0,1.3284473053815065,175,0,2006-2008
multi-sector model,0,1.2844733228767569,179,0,2006-2008
relationship-specif,0,1.273470210321231,182,0,2006-2008
export firm,0,1.2699239705945857,183,0,2006-2008
world trade system,0,1.2681637236979337,185,0,2006-2008
world trade network,1,122.8395016172786,0,1,2009-2011
intra-industri foreign direct invest,1,118.57712928810393,1,1,2009-2011
great trade collaps,1,18.20202728341708,3,1,2009-2011
trade financ,1,10.096756601043799,6,1,2009-2011
antidump(ad),1,8.398353504374079,9,1,2009-2011
export,1,6.4348449521318365,16,1,2009-2011
us trade,1,5.35475432166229,24,1,2009-2011
export promot institut,1,4.380080452984938,31,1,2009-2011
import refus,1,4.173437115814451,34,1,2009-2011
intra-industri trade(iit),1,3.611885702198437,46,1,2009-2011
plant heterogen,1,2.9464762051883304,59,1,2009-2011
inter-industri diversif,1,2.7736820841955785,62,1,2009-2011
inventori dynam,1,2.6778825467710745,67,1,2009-2011
oversea visit,1,2.6044490116605865,72,1,2009-2011
export spillov,1,2.439637169614743,75,1,2009-2011
foreign acquisit,1,2.1984983854493065,82,1,2009-2011
trade agreement,1,2.176256061176179,87,1,2009-2011
indigen firm,1,1.9465097454905227,98,1,2009-2011
trade misinvo,1,1.7105858632381408,115,1,2009-2011
diplomat represent,1,1.497974546072698,139,1,2009-2011
price of util,1,1.4917556201717328,143,1,2009-2011
south-south trade,1,1.419155846012215,152,1,2009-2011
relat trade advantag,1,1.3927962900410735,155,1,2009-2011
poisson pseudo-maximum likelihood(ppml),1,1.3661151725376228,168,1,2009-2011
intern fragment of product,1,1.3447267277398836,173,1,2009-2011
foreign export subsidi,1,1.2681637236979337,184,1,2009-2011
econom diplomaci,2,9.222017975622911,7,2,2012-2014
extra credit,2,8.554013416439231,8,2,2012-2014
product fragment,2,7.230056817807974,13,2,2012-2014
region trade agreement(rta),2,6.078928184257849,19,2,2012-2014
tariff evas,2,5.747661672622888,20,2,2012-2014
intern trade collaps,2,5.365295774524445,23,2,2012-2014
advanc payment,2,5.215749005282614,25,2,2012-2014
pattern of trade,2,4.766486536820629,28,2,2012-2014
skill dispers,2,4.479998457911789,30,2,2012-2014
