name,depth,importance,id,new_depth,depth_name
season employ,0,3.292745309586343,3,0,2006-2008
young immigr,0,2.732378476183825,5,0,2006-2008
educ unemploy,0,2.614402191052837,6,0,2006-2008
el salvador,0,2.5488705741746434,8,0,2006-2008
diaspora,0,2.127696371842055,10,0,2006-2008
immigr,0,1.6442595148986454,14,0,2006-2008
age at immigr,0,1.559529979825532,15,0,2006-2008
remitt,0,1.371002014719643,17,0,2006-2008
social trait,0,1.1281199740692855,20,0,2006-2008
migrant,0,1.0413305781231719,24,0,2006-2008
superstit,0,0.7498545635107253,39,0,2006-2008
guest worker,0,0.7341631545660657,40,0,2006-2008
daca,0,0.6586350838044517,52,0,2006-2008
squar root index,0,0.5510067589409837,59,0,2006-2008
emigr,0,0.5282309693616231,60,0,2006-2008
onward migrat,0,0.517606477961442,63,0,2006-2008
educ attain,0,0.5015062397676808,65,0,2006-2008
superstiti,0,0.49531583368166954,70,0,2006-2008
illeg migrat,0,0.49474257776654074,71,0,2006-2008
immigr attitud,0,0.4882299149746724,73,0,2006-2008
second-generat-immigr,0,0.42653991522031065,76,0,2006-2008
immigr surplus,0,0.4208968686352444,77,0,2006-2008
latin america and the caribbean(lac),0,0.4138344920460549,80,0,2006-2008
pswps,0,0.3882976737798749,85,0,2006-2008
incom varianc,0,0.3790558685857812,88,0,2006-2008
iso,0,0.3595348831295138,90,0,2006-2008
tanna,0,0.3595348831295138,91,0,2006-2008
spanish languag profici,0,0.3430417199522887,93,0,2006-2008
cspa,0,0.30654409461145304,99,0,2006-2008
local segreg curv,0,0.29395600574222347,103,0,2006-2008
intern immigr,0,0.2929027466034737,104,0,2006-2008
illeg,0,0.2800707318380595,107,0,2006-2008
migrat quota,0,0.26161125552403663,112,0,2006-2008
mezuzah,0,0.24999754780486413,115,0,2006-2008
deport,0,0.24459941557951373,118,0,2006-2008
amnesti,0,0.24331515307636528,119,0,2006-2008
huguenot,0,0.24054927827566042,120,0,2006-2008
destin countri,0,0.23415864631307653,125,0,2006-2008
wage assimil,0,0.2305969415386011,127,0,2006-2008
axiomat deriv,0,0.2225960321470829,129,0,2006-2008
outmigr,0,0.2215607841439979,132,0,2006-2008
attitud toward immigr,0,0.21910103905660072,137,0,2006-2008
workplac segreg,0,0.21705093401974004,141,0,2006-2008
return-migrat,0,0.21158649247456204,144,0,2006-2008
select return migrat,0,0.21067207299388097,145,0,2006-2008
host languag profici,0,0.19550353462432318,154,0,2006-2008
servitud,0,0.19409031643349628,157,0,2006-2008
servant,0,0.1909685749047992,160,0,2006-2008
cultur divers,0,0.18819392685923944,166,0,2006-2008
immigr polici,0,0.1774610815855683,175,0,2006-2008
english languag skill,1,2.5885418448030206,7,1,2009-2011
select immigr polici,1,2.026251917873666,11,1,2009-2011
guest worker,1,1.708296970960877,12,1,2009-2011
save accumul,1,1.064402718979101,21,1,2009-2011
local segreg curv,1,1.049567926790628,23,1,2009-2011
iso,1,1.039457240773351,25,1,2009-2011
tanna,1,1.039457240773351,26,1,2009-2011
h-1 b visa,1,1.0110612259646474,27,1,2009-2011
woman and work,1,0.9671711520362565,31,1,2009-2011
tran-nation network,1,0.7219545052249698,41,1,2009-2011
pswps,1,0.709560987766588,45,1,2009-2011
temperatur degre day,1,0.7091027607595661,47,1,2009-2011
skill composit of migrant,1,0.6991717555916385,48,1,2009-2011
repatri capit,1,0.68734703763532,49,1,2009-2011
ravel,1,0.5858960228820935,57,1,2009-2011
migrant associ,1,0.5198910597702148,62,1,2009-2011
superstiti,1,0.49531583368166954,69,1,2009-2011
h-1 b,1,0.413350898938979,81,1,2009-2011
visa categori,1,0.3572313265648195,92,1,2009-2011
tongan,1,0.3156006397588612,97,1,2009-2011
rural out-migrat,1,0.28473021939573373,105,1,2009-2011
agro-taobao villag,1,0.2654379418670811,108,1,2009-2011
willing to move,1,0.2623555398410469,110,1,2009-2011
sourc countri cultur,1,0.25696339401546886,113,1,2009-2011
prospect of migrat,1,0.2505910866823084,114,1,2009-2011
solidaria,1,0.24650493740522397,116,1,2009-2011
high-skill labor mobil,1,0.2353853680147751,123,1,2009-2011
higher educ spend,1,0.2353853680147751,124,1,2009-2011
eastern and western europ,1,0.22192384552922403,130,1,2009-2011
ethnic good,1,0.2211997735834645,133,1,2009-2011
visibl minor,1,0.21953404068449398,136,1,2009-2011
environment refuge,1,0.21724885218292167,140,1,2009-2011
immigr permit,1,0.21310930099073355,142,1,2009-2011
endogenieti test,1,0.20895924348510658,147,1,2009-2011
