name,depth,importance,id,new_depth,depth_name
polit-connect firm,0,287.7338313597432,0,0,2006-2008
liquid coinsur,0,8.12238189210413,6,0,2006-2008
cmbs,0,1.9736688462103307,52,0,2006-2008
go dark,0,1.897089583467778,55,0,2006-2008
connect transact,0,1.5514368735125956,75,0,2006-2008
polit connect ceo,0,1.4901649045340213,79,0,2006-2008
convert debt,0,1.2626085369360363,100,0,2006-2008
polit patronag,0,1.114687314863904,113,0,2006-2008
veri short-term,0,1.052441280965928,121,0,2006-2008
ceo connected,0,1.02329358913441,131,0,2006-2008
credit dollar,0,0.9458746609319951,145,0,2006-2008
financi contagiona,0,0.828356772295394,171,0,2006-2008
ceo,0,0.8246478456821178,172,0,2006-2008
asset sale,0,0.8081586688639765,177,0,2006-2008
freemasonri,1,5.578813150969987,12,1,2009-2011
chines peopl's congress,1,4.273133477338715,20,1,2009-2011
intern liquid risk,1,3.1375968336170956,33,1,2009-2011
ben bernank,1,2.535503596850798,40,1,2009-2011
financi market design and regul,1,2.528857609642989,41,1,2009-2011
lerner index of monopoli power,1,2.4932926866495353,42,1,2009-2011
bank ownership structur,1,1.949077805550207,53,1,2009-2011
sudden death,1,1.9469335920579054,54,1,2009-2011
freemason,1,1.8596043836566627,59,1,2009-2011
govern directorship,1,1.8312417173276816,60,1,2009-2011
other comprehens incom,1,1.8267038822442454,61,1,2009-2011
busi-state relationship,1,1.7293273548839156,66,1,2009-2011
corpor litig,1,1.653313107332495,70,1,2009-2011
school tie,1,1.4919757275572303,78,1,2009-2011
congression committe,1,1.4691418353603787,83,1,2009-2011
polit connect director,1,1.450474107209676,87,1,2009-2011
subvers of institut,1,1.3570086042899971,91,1,2009-2011
bought deal,1,1.2626085369360363,99,1,2009-2011
account transpar,1,1.2461819794336653,101,1,2009-2011
tobin q,1,1.2456695373925442,102,1,2009-2011
qualiti of earn,1,1.2234113635982764,104,1,2009-2011
fraction reserv bank,1,1.2232328297494894,106,1,2009-2011
postprivat,1,1.1157626301939978,112,1,2009-2011
unlist compani,1,0.9685910318220964,138,1,2009-2011
fund realloc,1,0.9228653344495326,149,1,2009-2011
subsidiari debt,1,0.9072585903659998,151,1,2009-2011
non-market asset,1,0.8993550381291663,155,1,2009-2011
equiti tunnel,1,0.8177110273568008,174,1,2009-2011
mandatori deferr of compens,1,0.7902458662709485,183,1,2009-2011
stand facil,1,0.7866713543307208,185,1,2009-2011
financi regulatori reform,1,0.7787491268563898,189,1,2009-2011
pcon,2,13.324977315756186,2,2,2012-2014
polit and busi connect,2,6.638251225312847,8,2,2012-2014
cheney,2,5.022790332635113,15,2,2012-2014
organ technolog innov,2,3.8133659512959412,23,2,2012-2014
hold bank ownership,2,3.5801804361237823,25,2,2012-2014
boeski,2,3.371810146190652,29,2,2012-2014
unitari board,2,2.9975712452973067,34,2,2012-2014
noncontributor,2,2.9099183453426174,36,2,2012-2014
