id,name,depth,time_slice,importance
2,anticip regret,0,2006-2008,12.609173967164226
3,privat evalu,0,2006-2008,11.694579312343969
4,polit lobbi,0,2006-2008,10.986395769350464
8,exchang asymmetri,0,2006-2008,6.7301869657725
9,properti right approach,0,2006-2008,6.701759698983067
10,cost-share contract,0,2006-2008,6.682752986569712
12,repeat moral hazard,0,2006-2008,6.1626281961006795
15,distribut experi,0,2006-2008,5.337733207525886
16,diminish impati,0,2006-2008,4.4257050057704745
20,choic shift in group,0,2006-2008,3.844471018562946
29,mutual absolut continu,0,2006-2008,3.1301644088099185
30,inform-gather,0,2006-2008,3.0631119957149315
33,machina paradox,0,2006-2008,2.752085336737245
43,colonel blotto game,0,2006-2008,2.2086120415246353
45,one-arm bandit,0,2006-2008,2.166362904179375
50,certainti effect,0,2006-2008,2.030469592534243
56,allai,0,2006-2008,1.8019963319191463
57,prefer for give,0,2006-2008,1.7832304222681292
63,finit repeat game,0,2006-2008,1.6691627443077146
64,guess game,0,2006-2008,1.6296785824297066
68,buy-sell claus,0,2006-2008,1.5703111699739045
87,book-make argument,0,2006-2008,1.2743934108844772
92,orient matroid,0,2006-2008,1.2264737446011735
96,penalti shoot-out,0,2006-2008,1.1350590329114438
97,cardin util,0,2006-2008,1.1344682372800292
98,anscomb-aumann framework,0,2006-2008,1.133286314171732
103,continu represent,0,2006-2008,1.0775754707471237
109,iter elimin procedur,0,2006-2008,1.0595030263511709
132,unequ discount,0,2006-2008,0.9426737009553446
143,posterior implement,0,2006-2008,0.9125822769723984
145,scottish premier leagu,0,2006-2008,0.9085845057766971
157,close book,0,2006-2008,0.8888846998763713
162,ambigu attitud,0,2006-2008,0.8610917167923444
163,team support,0,2006-2008,0.8580189197285353
165,punish,0,2006-2008,0.846614165996895
169,downsid risk avers,0,2006-2008,0.8360414106565409
175,behavior probabl,0,2006-2008,0.8308041655094494
180,prefer foundat,0,2006-2008,0.8194432872044666
182,common certainti,0,2006-2008,0.8120564545707373
185,level-k think,0,2006-2008,0.7971699792752122
186,interim correl rationaliz,0,2006-2008,0.7945914512645145
189,ambigu-avers,0,2006-2008,0.7892123700371002
192,sequenti rationaliz choic,0,2006-2008,0.7819333322441878
0,machina paradox,1,2009-2011,29.64832154737935
1,centiped,1,2009-2011,16.187927044266832
5,willing to pay-willing to accept gap,1,2009-2011,7.776837743016314
6,random natur experi,1,2009-2011,7.617031440534335
13,dynam pivot mechan,1,2009-2011,5.49036271348624
14,low moral,1,2009-2011,5.3419712283760195
22,ebay motor,1,2009-2011,3.7232426018110405
26,discretionari reward,1,2009-2011,3.1379510898347025
35,third price auction,1,2009-2011,2.4769408052716906
41,imag motiv,1,2009-2011,2.252301205371727
42,groupi,1,2009-2011,2.241662747849007
46,probabl premium,1,2009-2011,2.1637706877236464
65,buy-it-now-price,1,2009-2011,1.6224109800907465
81,cognit sophist,1,2009-2011,1.3393850840567436
85,higher-degre ross risk avers,1,2009-2011,1.3055494029434205
86,all-inclus util,1,2009-2011,1.2743934108844772
88,loudest,1,2009-2011,1.2672684456202814
90,blotto,1,2009-2011,1.253374121989693
91,imit game,1,2009-2011,1.2264737446011735
99,cason,1,2009-2011,1.1110300192360998
110,gender pair,1,2009-2011,1.0594668644450573
111,tast uncertainti,1,2009-2011,1.0261160219625483
112,explicit ceil,1,2009-2011,1.0208551367496712
117,role-uncertainti,1,2009-2011,1.0046602179846773
119,multipr,1,2009-2011,0.98556077060516
126,multi-dimension incomplet inform,1,2009-2011,0.9552379195349423
130,anomali of the exponenti discount util model,1,2009-2011,0.9489949437024982
131,sie valu function,1,2009-2011,0.9489949437024982
141,profit tabl,1,2009-2011,0.9216595203718094
147,payment upfront,1,2009-2011,0.9085186081610351
148,second-order belief,1,2009-2011,0.9049522252378582
151,base rate fallaci,1,2009-2011,0.8998248192594652
160,margin product of talent,1,2009-2011,0.8644846121601586
161,multi-arm bandit,1,2009-2011,0.8631899277783549
167,semi-standard monitor,1,2009-2011,0.8439586909421029
179,competit frame,1,2009-2011,0.8220405761139998
181,dynam tournament,1,2009-2011,0.8190236338784078
194,pre-contest invest,1,2009-2011,0.7782340616008088
11,euu,2,2012-2014,6.62990594389259
17,sell-on fee,2,2012-2014,4.187341846447762
23,competit frame,2,2012-2014,3.6659578871916545
25,clark differenti,2,2012-2014,3.2762920675443388
31,bernardelli,2,2012-2014,2.9800275464470443
32,low-valuat bidder,2,2012-2014,2.773644145131182
37,deleg search,2,2012-2014,2.4589792165956146
39,hrb,2,2012-2014,2.3503157667132
51,cost-base procur,2,2012-2014,1.990780832726268
52,insur bargain,2,2012-2014,1.9559922353059518
55,stochast contest,2,2012-2014,1.8028825001718611
58,feasibl payoff set,2,2012-2014,1.7678777543209563
60,bargain restrict,2,2012-2014,1.7226930432650702
61,chess-puzzl,2,2012-2014,1.7217165303615392
62,baillon,2,2012-2014,1.69549255577051
66,critic abil,2,2012-2014,1.6168340386605562
67,e-mail game,2,2012-2014,1.6066479058352519
73,learn-by-observ,2,2012-2014,1.4260682372691538
78,ration inattent consum,2,2012-2014,1.3868970168911137
79,level-k theori,2,2012-2014,1.3409110659879293
89,labpw,2,2012-2014,1.2560434358876151
95,student coupl,2,2012-2014,1.1385205839887056
100,hypothet think,2,2012-2014,1.1110300192360998
102,differ preorder,2,2012-2014,1.0775754707471237
104,best-of-two contest,2,2012-2014,1.0761889839675494
105,multiprior expect multiutil represent,2,2012-2014,1.070314281722101
106,incomplet belief,2,2012-2014,1.070314281722101
115,detail-free contract,2,2012-2014,1.0098163644263678
116,high-watermark contract,2,2012-2014,1.0098163644263678
121,guilt sensit,2,2012-2014,0.9713923665452238
122,certainti independ,2,2012-2014,0.9705400489184705
124,fidel network,2,2012-2014,0.9640980206351413
129,hadza,2,2012-2014,0.9531059153502071
133,bid arriv,2,2012-2014,0.9298629428695432
134,sepp,2,2012-2014,0.9298629428695432
138,prouhet,2,2012-2014,0.9279221439269278
139,thue,2,2012-2014,0.9279221439269278
