name,depth,importance,id,new_depth,depth_name
ordin effici welfar theorem,0,12.109351696757933,0,0,2006-2008
borda winner,0,11.528477444232117,2,0,2006-2008
condorcet,0,7.871009310677689,4,0,2006-2008
better-repli secur game,0,3.6135416226904593,16,0,2006-2008
uniform payoff secur,0,3.5500299213249327,17,0,2006-2008
coalit interv game,0,3.4155617519661163,18,0,2006-2008
(maskin) monoton,0,3.1793439208337673,20,0,2006-2008
random serial dictatorship,0,3.0481027574044224,22,0,2006-2008
no-envi,0,3.033758360759034,23,0,2006-2008
surject,0,2.9435985324301535,25,0,2006-2008
coalit-strategi-proof,0,2.6806031623609536,27,0,2006-2008
sophist player,0,2.4898918670433363,29,0,2006-2008
three-grade rank,0,2.409903027314887,31,0,2006-2008
f-just rule,0,2.245632300521817,35,0,2006-2008
nucleolus,0,1.9883291307104112,41,0,2006-2008
superdictatori,0,1.8972483503426227,44,0,2006-2008
pseudocontinu function,0,1.8008902524988781,51,0,2006-2008
exclud public good,0,1.7657937984045637,53,0,2006-2008
walra core,0,1.7531566963594203,54,0,2006-2008
consist binari relat,0,1.7275117838103657,56,0,2006-2008
boston mechan,0,1.6617657225686489,61,0,2006-2008
undomin set,0,1.6152739226714832,62,0,2006-2008
social stabl core,0,1.6110650353599052,63,0,2006-2008
superdictatori domain,0,1.5254926076060986,68,0,2006-2008
consensus valu,0,1.5097449771861418,71,0,2006-2008
order exchang contract,0,1.4817109992580284,73,0,2006-2008
minimum cost span tree problem,0,1.4481899816702648,75,0,2006-2008
queue problem,0,1.2235262460983147,83,0,2006-2008
ordin effici,0,1.112847300055332,89,0,2006-2008
aggreg rule,0,1.059203099698657,99,0,2006-2008
strategi-proof,0,1.0300042578587916,103,0,2006-2008
parliamentari procedur,0,0.969097721875988,111,0,2006-2008
agenda tree,0,0.9077182810915052,117,0,2006-2008
random order mechan,0,0.8630240300936183,125,0,2006-2008
strategi-proof vote,0,0.8474404831179788,131,0,2006-2008
uncov set,0,0.8386021088561352,133,0,2006-2008
conced-and-divid,0,0.7963253342853953,139,0,2006-2008
axiomat construct,0,0.7819496302180495,140,0,2006-2008
pascal's triangl,0,0.7580846972948052,144,0,2006-2008
vote aggreg,0,0.754019082930938,148,0,2006-2008
reduc-form auction,0,0.7509614653704584,150,0,2006-2008
median stabl match,0,0.7440356020534714,156,0,2006-2008
essenti set,0,0.7370653187755123,160,0,2006-2008
core,0,0.7342529556024129,163,0,2006-2008
strong purif,0,0.7321134177555992,165,0,2006-2008
minimum norm,0,0.7250654535355197,169,0,2006-2008
link agent form,0,0.7175106553404262,173,0,2006-2008
approv vote,0,0.7161500260306413,175,0,2006-2008
dictatori domain,0,0.7089888364636355,176,0,2006-2008
stochast model of growth,0,0.7038127246475634,179,0,2006-2008
qualifi major rule,0,0.6959159390685806,180,0,2006-2008
ident-prefer lower-bound,0,0.6803875191728366,187,0,2006-2008
circular domain,1,11.8030801709867,1,1,2009-2011
partial anonym,1,4.622479358310863,10,1,2009-2011
merg-proof,1,3.7737000208560905,14,1,2009-2011
pareto effici nash equilibrium,1,3.1600746466094543,21,1,2009-2011
yolk,1,2.4538760315276185,30,1,2009-2011
ps game,1,2.329345233713957,32,1,2009-2011
agenda tree,1,1.8768160029674932,45,1,2009-2011
weak-core,1,1.816416560616933,49,1,2009-2011
vnm util,1,1.7812111292022665,52,1,2009-2011
endogen restrict financi particip,1,1.7391621158417339,55,1,2009-2011
game with upper bound,1,1.7077808759830582,57,1,2009-2011
truncat core,1,1.7077808759830582,58,1,2009-2011
equal surplus share,1,1.5165383033554019,70,1,2009-2011
oblig rule,1,1.4285514881820034,76,1,2009-2011
infinit individu,1,1.308366676644136,80,1,2009-2011
limit admiss,1,1.2991838082574387,81,1,2009-2011
probabilist serial mechan,1,1.1428818493456954,85,1,2009-2011
strict game,1,1.129523156881196,86,1,2009-2011
social decis problem,1,1.120471518234966,88,1,2009-2011
balanc cycl contribut properti,1,1.0872891378128364,92,1,2009-2011
two-step shapley valu,1,1.0724765327962873,96,1,2009-2011
baker-thompson rule,1,0.9661035353130488,112,1,2009-2011
essenti social choic function,1,0.8975809785067287,118,1,2009-2011
general queue game,1,0.8196360286692024,136,1,2009-2011
strong pareto principl,1,0.8047833032366567,138,1,2009-2011
aggreg-monoton core,1,0.7602275585788916,142,1,2009-2011
strateg approxim,1,0.7484219231164169,151,1,2009-2011
aggreg-monoton,1,0.7470319439670576,152,1,2009-2011
eadam,1,0.739436980238063,158,1,2009-2011
game with an endogen share rule,1,0.7370653187755123,159,1,2009-2011
weak undomin,1,0.7161500260306413,174,1,2009-2011
equal surplus divis valu,2,6.486398402010829,6,2,2012-2014
essenti nash equilibrium,2,5.2193612860327505,7,2,2012-2014
am-proof,2,5.076629014613008,9,2,2012-2014
weak group strategi-proof,2,3.3394598553761083,19,2,2012-2014
larg distribution game,2,2.0385817309164778,40,2,2012-2014
fair for neighbor,2,1.925727160295545,43,2,2012-2014
constrain equal benefit rule,2,1.5640282769945855,64,2,2012-2014
anonym in welfar,2,1.5544573122270275,65,2,2012-2014
larg strateg game,2,1.5292720930613724,66,2,2012-2014
social-maxim nash equilibrium distribut,2,1.5292720930613724,67,2,2012-2014
diagon transfer continu game,2,1.4228740435030978,77,2,2012-2014
aggreg gap minim,2,1.243412049730683,82,2,2012-2014
extrem point character,2,1.1709432082455502,84,2,2012-2014
age-base prefer,2,1.1105250865466547,91,2,2012-2014
sd-effici,2,1.067382892655864,97,2,2012-2014
weak invari,2,1.0530938788535373,100,2,2012-2014
group strategi-proof mechan,2,1.0300042578587916,102,2,2012-2014
ordin fair,2,0.9944858915838884,107,2,2012-2014
weak truncat robust,2,0.9944858915838884,108,2,2012-2014
sd-envi-freeness,2,0.960202416788401,113,2,2012-2014
dummifi player,2,0.9272956025592524,115,2,2012-2014
intermedi core,2,0.8765783481797101,120,2,2012-2014
intermedi game,2,0.8765783481797101,121,2,2012-2014
singl-dip prefer,2,0.8334489327175764,134,2,2012-2014
favor-higher-rank,2,0.7579229047440146,145,2,2012-2014
river share problem,2,0.75543223961684,146,2,2012-2014
rank sum score,2,0.754019082930938,147,2,2012-2014
network-flow approach,2,0.7509614653704584,149,2,2012-2014
group robust stabil,2,0.7444173049156921,154,2,2012-2014
relat diffus,2,0.7321134177555992,164,2,2012-2014
collus neutral,2,0.7209690385437936,171,2,2012-2014
ky fan minimax inequ,2,0.7043152113837114,177,2,2012-2014
coalit unanim,2,0.6896103935546598,183,2,2012-2014
ordin invari,2,0.6862610597902867,185,2,2012-2014
airstrip,2,0.6816040235272312,186,2,2012-2014
evaluationwis strategi-proof,3,4.3305061825010425,11,3,2015-2017
